epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1045.79,1.77024,2.411,1.11372,0.81692,0.30826,0.36093,0.19031,1.57682,2.03304,1.0331,0.000367394,0.000367394,0.000367394
2,2144.9,1.62834,1.47518,1.0667,0.79921,0.36987,0.40758,0.21062,1.60491,1.51467,1.03676,0.00070121,0.00070121,0.00070121
3,3222.79,1.57216,1.30352,1.04698,0.84171,0.41627,0.46277,0.24317,1.51666,1.25662,1.02212,0.000998363,0.000998363,0.000998363
4,4384.67,1.53412,1.16702,1.04027,0.78331,0.453,0.51241,0.28744,1.4689,1.10419,1.01253,0.000946016,0.000946016,0.000946016
5,5507.54,1.48768,1.10362,1.01463,0.78355,0.50015,0.52794,0.28193,1.42815,1.04536,0.99491,0.000891022,0.000891022,0.000891022
6,6636.16,1.45767,1.02738,1.0174,0.75713,0.4714,0.52453,0.28369,1.42778,1.01388,1.00134,0.000836027,0.000836027,0.000836027
7,7606.42,1.42613,0.97215,0.99911,0.86256,0.51794,0.62541,0.35798,1.41203,0.94972,0.99437,0.000781033,0.000781033,0.000781033
8,8502.6,1.42736,0.95846,1.00037,0.67325,0.54926,0.58277,0.34079,1.35925,0.88972,0.96947,0.000726038,0.000726038,0.000726038
9,9505.83,1.3764,0.89628,0.98478,0.83024,0.5782,0.63192,0.35697,1.39395,0.90699,0.97982,0.000671044,0.000671044,0.000671044
10,10602.8,1.37777,0.88143,0.98323,0.72914,0.6146,0.68123,0.39502,1.33934,0.85572,0.96646,0.000616049,0.000616049,0.000616049
11,11702.6,1.36269,0.87609,0.984,0.84078,0.5945,0.70315,0.4122,1.36771,0.84301,0.97774,0.000561055,0.000561055,0.000561055
12,12785.6,1.35401,0.85706,0.98392,0.78248,0.56566,0.67532,0.41524,1.3296,0.81956,0.96436,0.00050606,0.00050606,0.00050606
13,13696.5,1.32551,0.80913,0.97414,0.77217,0.62044,0.70109,0.41638,1.32348,0.82553,0.96382,0.000451066,0.000451066,0.000451066
14,14574.1,1.31901,0.79415,0.97033,0.78222,0.6163,0.70355,0.4257,1.31643,0.78527,0.95793,0.000396071,0.000396071,0.000396071
15,15453,1.29762,0.7625,0.9625,0.82246,0.62234,0.72318,0.45237,1.30336,0.79242,0.957,0.000341077,0.000341077,0.000341077
16,16331.4,1.27243,0.74361,0.95669,0.87748,0.65345,0.73488,0.44873,1.30983,0.7466,0.95461,0.000286083,0.000286083,0.000286083
17,17214.2,1.26682,0.72437,0.95192,0.82273,0.67464,0.7482,0.45907,1.29026,0.72585,0.95124,0.000231088,0.000231088,0.000231088
18,18098.4,1.24947,0.71196,0.95308,0.79784,0.72058,0.76023,0.4731,1.25887,0.70694,0.94323,0.000176094,0.000176094,0.000176094
19,18981.1,1.23018,0.69142,0.94718,0.82098,0.71794,0.77855,0.48713,1.24979,0.6871,0.94146,0.000121099,0.000121099,0.000121099
20,19969,1.21731,0.67823,0.93923,0.8225,0.73246,0.78395,0.49716,1.24696,0.68083,0.94022,6.61045e-05,6.61045e-05,6.61045e-05
